u'establishment'	168
u'bar'	133
u'school'	55
u'lodging'	48
u'night_club'	38
u'restaurant'	36
u'art_gallery'	32
u'church'	25
u'store'	23
u'library'	21
u'movie_theater'	19
u'food'	19
u'cafe'	14
u'meal_takeaway'	14
u'grocery_or_supermarket'	12
u'museum'	12
u'gym'	11
u'book_store'	10
u'real_estate_agency'	9
u'university'	8
u'home_goods_store'	7
u'department_store'	7
u'bakery'	7
u'doctor'	7
u'health'	6
u'clothing_store'	5
u'hospital'	5
u'beauty_salon'	5
u'car_repair'	5
u'train_station'	5
u'stadium'	4
u'mosque'	4
u'shopping_mall'	4
u'storage'	3
u'amusement_park'	3
u'meal_delivery'	3
u'dentist'	3
u'post_office'	3
u'bicycle_store'	2
u'laundry'	2
u'travel_agency'	2
u'lawyer'	2
u'jewelry_store'	2
u'general_contractor'	2
u'insurance_agency'	2
u'convenience_store'	1
u'electrician'	1
u'liquor_store'	1
u'accounting'	1
u'police'	1
u'furniture_store'	1
u'car_rental'	1
u'locksmith'	1
u'finance'	1
u'synagogue'	1
u'local_government_office'	1
u'gas_station'	1
u'car_dealer'	1
u'florist'	1
u'fire_station'	1
u'moving_company'	1
