['37.7880334200667', '-122.404360584533', '0.565217391304348', '345\n']	California Pizza Kitchen	[u'restaurant', u'food', u'establishment']	The Westin San Francisco Market Street	[u'lodging', u'establishment']	Mechanics' Institute Library and Chess Room	[u'library', u'establishment']	
['37.7738449157576', '-122.41092614697', '0.565789473684211', '76\n']	Folsom Street Foundry	[u'food', u'bar', u'art_gallery', u'establishment']	Civic Center Motor Inn	[u'lodging', u'establishment']	Prelinger Library	[u'library', u'establishment']	
['37.7640346777714', '-122.421916150743', '0.566831683168317', '404\n']	Roxie Theater	[u'movie_theater', u'establishment']	Bar Tartine	[u'bar', u'restaurant', u'food', u'establishment']	The Monk's Kettle	[u'bar', u'restaurant', u'food', u'establishment']	
['37.78985358', '-122.396871121381', '0.57311320754717', '424\n']	Golden Gate University	[u'university', u'school', u'establishment']	AT&T	[u'store', u'establishment']	Town Hall	[u'restaurant', u'food', u'establishment']	
['37.7991252122862', '-122.407649455689', '0.573660714285714', '448\n']	City Lights Booksellers & Publishers	[u'book_store', u'store', u'establishment']	Vesuvio Cafe	[u'bar', u'establishment']	The Condor Club	[u'night_club', u'bar', u'restaurant', u'food', u'establishment']	
['37.7890465411622', '-122.414301381928', '0.576119402985075', '335\n']	Hotel Vertigo San Francisco	[u'lodging', u'establishment']	Adelaide Hostel	[u'lodging', u'establishment']	Mayflower Hotel	[u'lodging', u'establishment']	
['37.7865494934549', '-122.414773133141', '0.576576576576577', '333\n']	The Hotel California	[u'lodging', u'establishment']	Bourbon & Branch	[u'bar', u'restaurant', u'food', u'establishment']	Jones	[u'night_club', u'bar', u'restaurant', u'food', u'establishment']	
['37.7789664496032', '-122.389538938849', '0.577181208053691', '596\n']	AT&T Park	[u'stadium', u'establishment']	AT&T Park	[u'stadium', u'establishment']	King St. Dental Wellness Center	[u'dentist', u'health', u'establishment']	
['37.7213178985638', '-122.399225434202', '0.57847533632287', '446\n']	Lewis & Ribbs Mortuary	[u'funeral_home', u'establishment']	Sol Drums & Percussion	[u'store', u'establishment']	UnitedLayer	[u'establishment']	
['37.7778892676522', '-122.38943835287', '0.578754578754579', '273\n']	AT&T Park	[u'stadium', u'establishment']	AT&T Park	[u'stadium', u'establishment']	King St. Dental Wellness Center	[u'dentist', u'health', u'establishment']	
['37.7752469007509', '-122.409924578425', '0.580645161290323', '434\n']	Sightglass	[u'establishment']	Raven Bar	[u'night_club', u'bar', u'establishment']	Bloodhound	[u'bar', u'establishment']	
['37.7387398203149', '-122.446692039602', '0.581538461538462', '325\n']	Steven Whitney Architect	[u'establishment']	Speeding Bullet, Inc.	[u'real_estate_agency', u'establishment']	California Home Improvement Solutions, Inc.	[u'general_contractor', u'home_goods_store', u'store', u'establishment']	
['37.7836691455932', '-122.414053601695', '0.583038869257951', '283\n']	Power Exchange	[u'night_club', u'establishment']	US Post Office	[u'post_office', u'finance', u'establishment']	Morty's Delicatessen	[u'store', u'meal_takeaway', u'restaurant', u'food', u'establishment']	
['37.7729471030769', '-122.412702878462', '0.583333333333333', '156\n']	Folsom Street Foundry	[u'food', u'bar', u'art_gallery', u'establishment']	Slim's	[u'night_club', u'bar', u'establishment']	Bar Agricole	[u'bar', u'restaurant', u'food', u'establishment']	
['37.7891436541571', '-122.413276238625', '0.584070796460177', '1469\n']	Bohemian Club	[u'library', u'establishment']	Adelaide Hostel	[u'lodging', u'establishment']	Mayflower Hotel	[u'lodging', u'establishment']	
['37.7856696617259', '-122.429710424315', '0.584388185654008', '474\n']	Japan Center	[u'shopping_mall', u'establishment']	Hotel Kabuki - a Joie de Vivre Hotel	[u'lodging', u'establishment']	Hotel Tomo	[u'lodging', u'establishment']	
['37.760917295223', '-122.434439345693', '0.584848484848485', '990\n']	The Castro Theatre	[u'movie_theater', u'establishment']	San Francisco Badlands	[u'night_club', u'bar', u'establishment']	Levi's Store - Castro	[u'clothing_store', u'store', u'establishment']	
['37.7850075792494', '-122.402829810547', '0.585616438356164', '292\n']	San Francisco Marriott Marquis	[u'lodging', u'establishment']	Metreon	[u'shopping_mall', u'establishment']	Yerba Buena Center for the Arts (YBCA)	[u'art_gallery', u'museum', u'movie_theater', u'establishment']	
['37.7446159878197', '-122.41956110673', '0.588082901554404', '386\n']	Big Lots	[u'department_store', u'store', u'establishment']	ICHI Sushi + NI Bar	[u'restaurant', u'food', u'establishment']	Blue Plate	[u'bar', u'restaurant', u'food', u'establishment']	
['37.7851501659627', '-122.400478246894', '0.588235294117647', '391\n']	Yerba Buena Center for the Arts (YBCA)	[u'art_gallery', u'museum', u'movie_theater', u'establishment']	Cartoon Art Museum	[u'museum', u'establishment']	California Pizza Kitchen	[u'restaurant', u'food', u'establishment']	
['37.7812557016495', '-122.406070163505', '0.588983050847458', '236\n']	InterContinental San Francisco	[u'night_club', u'bar', u'lodging', u'establishment']	University of the Pacific, Arthur A. Dugoni School of Dentistry	[u'university', u'health', u'establishment']	Mezzanine	[u'night_club', u'bar', u'establishment']	
['37.7558990451348', '-122.41925253187', '0.590184049079755', '815\n']	Ritual Coffee Roasters	[u'cafe', u'food', u'establishment']	Valencia Cyclery	[u'bicycle_store', u'store', u'establishment']	Foreign Cinema	[u'restaurant', u'food', u'establishment']	
['37.7846065953488', '-122.396506237093', '0.594339622641509', '212\n']	Courtyard San Francisco Downtown	[u'lodging', u'establishment']	24 Hour Fitness	[u'gym', u'health', u'establishment']	supperclub	[u'night_club', u'bar', u'restaurant', u'food', u'establishment']	
['37.7295343504082', '-122.409457302449', '0.59504132231405', '363\n']	E R Taylor Elementary School	[u'school', u'establishment']	Palega Recreation Center	[u'establishment']	Chez Hanny	[u'establishment']	
['37.7616304490397', '-122.419271532325', '0.595185995623632', '457\n']	Noisebridge	[u'establishment']	Different Fur Studios	[u'establishment']	Gracias Madre	[u'restaurant', u'food', u'establishment']	
['37.7885343107962', '-122.411830473684', '0.595744680851064', '611\n']	Clift San Francisco	[u'bar', u'restaurant', u'lodging', u'food', u'establishment']	JW Marriott San Francisco Union Square	[u'lodging', u'establishment']	Ruby Skye	[u'night_club', u'bar', u'establishment']	
['37.7697661308271', '-122.43192594812', '0.596969696969697', '330\n']	Duboce Park Cafe	[u'restaurant', u'food', u'establishment']	Harvey Milk Center for the Arts	[u'establishment']	Thep Phanom Thai Restaurant	[u'restaurant', u'food', u'establishment']	
['37.795810867233', '-122.421851051553', '0.59765625', '512\n']	Harris' The San Francisco Steakhouse	[u'bar', u'restaurant', u'food', u'establishment']	Lombardi Sports	[u'clothing_store', u'store', u'establishment']	SUBWAY® Restaurants	[u'meal_takeaway', u'restaurant', u'food', u'establishment']	
['37.7674233796198', '-122.406230338099', '0.597859327217125', '654\n']	Mighty	[u'night_club', u'establishment']	Restoration Hardware	[u'furniture_store', u'general_contractor', u'home_goods_store', u'store', u'establishment']	UPS Customer Center	[u'establishment']	
['37.7870456105776', '-122.399781432924', '0.599131693198263', '691\n']	Palace Hotel, San Francisco	[u'lodging', u'establishment']	Academy of Art University	[u'library', u'university', u'school', u'establishment']	Cartoon Art Museum	[u'museum', u'establishment']	
['37.8000208487517', '-122.410496189117', '0.599221789883268', '514\n']	Saints Peter and Paul Church	[u'church', u'place_of_worship', u'establishment']	Mama's	[u'restaurant', u'food', u'establishment']	Beach Blanket Babylon	[u'restaurant', u'food', u'establishment']	
