"latitude"	"longitude"	"rate"	"size"
37.7134245069231	-122.386197558718	0.312775330396476	227
37.7359103289552	-122.479614740149	0.340983606557377	305
37.7691263923519	-122.491847287434	0.374707259953162	427
37.767891707828	-122.493852085326	0.379487179487179	1170
37.7837507192366	-122.409216623053	0.467479674796748	246
37.7714835859239	-122.413845359049	0.472022955523673	697
37.7724039539851	-122.42967852255	0.473958333333333	768
37.7689912090397	-122.419340201358	0.480206540447504	581
37.763212861227	-122.389217364386	0.488226059654631	637
37.7694258973718	-122.484514157543	0.496774193548387	930
37.7897081061194	-122.411831970821	0.50185873605948	538
37.7712337842667	-122.413453958667	0.504950495049505	303
37.7862246086274	-122.408789661176	0.507246376811594	207
37.7683749408466	-122.420343152487	0.5078125	384
37.7606796542219	-122.42139319647	0.512160228898426	699
37.7716410227159	-122.49454609623	0.512269938650307	326
37.7625732557756	-122.421491923399	0.519047619047619	420
37.7704370504211	-122.489326411842	0.522613065326633	398
37.7809616121708	-122.408596514982	0.526138279932546	593
37.7720206498294	-122.43136604157	0.537124802527646	633
37.7593656811222	-122.411708206141	0.542024013722127	583
37.7807521810377	-122.391321538585	0.550847457627119	236
37.7783471516484	-122.390077278626	0.551171393341554	811
37.782497196114	-122.407909898342	0.557339449541284	436
37.7874584213386	-122.397575742283	0.557491289198606	287
37.7869146462205	-122.411343742047	0.557491289198606	287
37.7874669571825	-122.40981886246	0.558669001751314	571
37.8000749183984	-122.40904140418	0.560891938250429	583
37.7710274367488	-122.412799976256	0.564377682403433	466
37.7880334200667	-122.404360584533	0.565217391304348	345
37.7738449157576	-122.41092614697	0.565789473684211	76
37.7640346777714	-122.421916150743	0.566831683168317	404
37.78985358	-122.396871121381	0.57311320754717	424
37.7991252122862	-122.407649455689	0.573660714285714	448
37.7890465411622	-122.414301381928	0.576119402985075	335
37.7865494934549	-122.414773133141	0.576576576576577	333
37.7789664496032	-122.389538938849	0.577181208053691	596
37.7213178985638	-122.399225434202	0.57847533632287	446
37.7778892676522	-122.38943835287	0.578754578754579	273
37.7752469007509	-122.409924578425	0.580645161290323	434
37.7387398203149	-122.446692039602	0.581538461538462	325
37.7836691455932	-122.414053601695	0.583038869257951	283
37.7729471030769	-122.412702878462	0.583333333333333	156
37.7891436541571	-122.413276238625	0.584070796460177	1469
37.7856696617259	-122.429710424315	0.584388185654008	474
37.760917295223	-122.434439345693	0.584848484848485	990
37.7850075792494	-122.402829810547	0.585616438356164	292
37.7446159878197	-122.41956110673	0.588082901554404	386
37.7851501659627	-122.400478246894	0.588235294117647	391
37.7812557016495	-122.406070163505	0.588983050847458	236
37.7558990451348	-122.41925253187	0.590184049079755	815
37.7846065953488	-122.396506237093	0.594339622641509	212
37.7295343504082	-122.409457302449	0.59504132231405	363
37.7616304490397	-122.419271532325	0.595185995623632	457
37.7885343107962	-122.411830473684	0.595744680851064	611
37.7697661308271	-122.43192594812	0.596969696969697	330
37.795810867233	-122.421851051553	0.59765625	512
37.7674233796198	-122.406230338099	0.597859327217125	654
37.7870456105776	-122.399781432924	0.599131693198263	691
37.8000208487517	-122.410496189117	0.599221789883268	514
