"latitude"	"longitude"	"rate"	"size"
37.426948058213	-122.081132399296	0.282375236891977	1583
37.2604924271041	-122.0641781769	0.369472182596291	701
37.3327088198471	-121.901313139551	0.429982046678636	1114
37.4541274197736	-122.184909383696	0.515735883986424	6482
37.3349931892871	-121.88960199633	0.51581975071908	1043
37.2439073627027	-122.031441945135	0.519480519480519	77
37.3318848179122	-121.889707866773	0.523728813559322	590
37.4441845831322	-122.161205864512	0.579710144927536	828
37.438347	-122.0860722	0.583333333333333	36
37.3348957114583	-121.880053685208	0.595789473684211	475
